('Starter' here means the index of dummy atom in the mapped RMC6F file.)
   Index Starter  Eff_X_Walk  Eff_Y_Walk  Eff_Z_Walk
       1      31    0.000000    0.000000    0.000000
       2     154    0.000000    0.100000    0.200000
       3      20    0.000000    0.000000    0.000000
       4     116    0.000000    0.000000    0.000000
       5     171    0.100000    0.100000    0.300000
       6     101    0.100000    0.000000    0.100000
       7      67    0.000000    0.000000    0.000000
       8      19    0.000000    0.000000    0.200000
       9      33    0.000000    0.100000    0.100000
      10      92    0.000000    0.000000    0.000000
