X	Y_Calc	Y_Init	Diff_Y_Calc_Init
      33.528000      57.713530      57.713343       0.000187
      33.582000      55.669168      55.669360      -0.000192
      33.656000      53.669595      53.669706      -0.000111
      33.720000      52.575368      52.575453      -0.000085
      33.778000      52.036477      52.036336       0.000141
      33.832000      51.905872      51.905747       0.000125
      33.906000      52.314527      52.314460       0.000067
      33.970000      53.265637      53.265793      -0.000156
      34.028000      54.676210      54.676386      -0.000176
      34.082000      56.546381      56.546410      -0.000029
      34.156000      60.177253      60.177377      -0.000124
      34.220000      64.582186      64.582188      -0.000002
      34.278000      69.851707      69.851846      -0.000139
      34.332000      76.111093      76.111048       0.000045
      34.406000      87.285127      87.285131      -0.000004
      34.470000      99.905702      99.905719      -0.000017
      34.528000     114.122328     114.122304       0.000024
      34.582000     130.052071     130.052030       0.000041
      34.641000     150.680395     150.680403      -0.000008
      34.707000     177.931052     177.931222      -0.000170
      34.769000     207.531533     207.531397       0.000136
      34.830000     240.075617     240.075810      -0.000193
      34.891000     275.271985     275.271903       0.000082
      34.957000     314.866477     314.866403       0.000074
      35.018000     350.813324     350.813234       0.000090
      35.081000     384.480718     384.480814      -0.000096
      35.140000     410.104310     410.104376      -0.000066
      35.205000     428.023696     428.023694       0.000002
      35.265000     432.856996     432.856889       0.000107
      35.330000     424.537586     424.537483       0.000103
      35.391000     405.054740     405.054790      -0.000050
      35.453000     376.306352     376.306321       0.000031
      35.515000     341.881861     341.881646       0.000215
      35.576000     305.590095     305.590179      -0.000084
      35.639000     268.218239     268.218220       0.000019
      35.703000     232.300002     232.299986       0.000016
      35.767000     199.683784     199.683737       0.000047
      35.839000     167.771704     167.771475       0.000229
      35.903000     146.603564     146.603511       0.000053
      35.967000     126.955843     126.955660       0.000183
      36.032000     110.912203     110.912028       0.000175
      36.089000      99.714053      99.713847       0.000206
      36.153000      89.906943      89.907033      -0.000090
      36.217000      82.552162      82.552121       0.000041
      36.282000      77.139095      77.139260      -0.000165
      36.339000      73.764046      73.764129      -0.000083
      36.403000      71.208617      71.208690      -0.000073
      36.467000      69.709839      69.709958      -0.000119
      36.532000      69.075306      69.075271       0.000035
      36.589000      69.140390      69.140510      -0.000120
      36.653000      69.825849      69.825810       0.000039
      36.717000      71.112049      71.111996       0.000053
      36.782000      73.013793      73.013875      -0.000082
      36.839000      75.184562      75.184429       0.000133
      36.903000      78.212571      78.212281       0.000290
      36.967000      81.932294      81.932211       0.000083
      37.032000      86.516976      86.516768       0.000208
      37.089000      91.328728      91.328683       0.000045
      37.153000      97.793651      97.793729      -0.000078
      37.217000     105.670472     105.670522      -0.000050
      37.288000     116.534690     116.534634       0.000056
      37.343000     126.936997     126.936935       0.000062
      37.404000     141.127382     141.127376       0.000006
      37.467000     160.288054     160.288013       0.000041
      37.534000     185.285912     185.285907       0.000005
      37.596000     214.829579     214.829336       0.000243
      37.656000     250.796953     250.796816       0.000137
      37.717000     296.749259     296.749258       0.000001
      37.781000     358.462617     358.462641      -0.000024
      37.842000     436.823328     436.823707      -0.000379
      37.906000     556.178474     556.178352       0.000122
      37.967000     737.687564     737.687619      -0.000055
      38.030000    1048.161232    1048.161013       0.000219
      38.093000    1538.710096    1538.709866       0.000230
      38.159000    2251.929624    2251.929927      -0.000303
      38.218000    2962.666441    2962.666705      -0.000264
      38.279000    3557.292385    3557.292655      -0.000270
      38.344000    3758.666611    3758.666327       0.000284
      38.408000    3442.525690    3442.525408       0.000282
      38.464000    2921.799620    2921.799675      -0.000055
      38.529000    2279.205269    2279.205334      -0.000065
      38.594000    1756.681192    1756.681442      -0.000250
      38.658000    1400.156069    1400.156337      -0.000268
      38.714000    1186.090590    1186.090539       0.000051
      38.779000    1004.719801    1004.719878      -0.000077
      38.844000     858.651914     858.651704       0.000210
      38.908000     733.012345     733.012386      -0.000041
      38.964000     634.018323     634.018448      -0.000125
      39.029000     531.688985     531.689186      -0.000201
      39.094000     443.020934     443.020951      -0.000017
      39.158000     369.009309     369.009061       0.000248
      39.214000     314.392984     314.392720       0.000264
      39.279000     261.883141     261.883033       0.000108
      39.344000     219.533778     219.533537       0.000241
      39.408000     186.265636     186.265696      -0.000060
      39.464000     162.776080     162.775822       0.000258
      39.529000     140.862018     140.861771       0.000247
      39.594000     123.453085     123.453150      -0.000065
      39.658000     109.722455     109.722693      -0.000238
      39.714000      99.828996      99.829281      -0.000285
      39.779000      90.267451      90.267181       0.000270
      39.844000      82.279857      82.279985      -0.000128
      39.908000      75.603576      75.603505       0.000071
      39.963000      70.791713      70.792057      -0.000344
      40.024000      65.891681      65.891541       0.000140
      40.078000      62.021622      62.021604       0.000018
      40.133000      58.458079      58.457871       0.000208
      40.188000      55.225940      55.225813       0.000127
      40.246000      52.125363      52.125621      -0.000258
      40.308000      49.117986      49.118106      -0.000120
      40.363000      46.682045      46.682122      -0.000077
      40.417000      44.480520      44.480679      -0.000159
      40.472000      42.410329      42.410328       0.000001
      40.534000      40.263994      40.264241      -0.000247
      40.598000      38.236075      38.235914       0.000161
      40.657000      36.516300      36.516174       0.000126
      40.712000      35.030482      35.030206       0.000276
      40.773000      33.502098      33.502317      -0.000219
      40.827000      29.691742      29.691948      -0.000206
      40.887000      28.509775      28.510017      -0.000242
      40.947000      27.412924      27.412909       0.000015
      41.000000      26.508111      26.508430      -0.000319
      41.062000      25.521042      25.520916       0.000126
      41.120000      24.661064      24.660734       0.000330
      41.174000      23.910372      23.910523      -0.000151
      41.237000      23.092924      23.092672       0.000252
      41.299000      22.343429      22.343238       0.000191
      41.352000      21.743236      21.742959       0.000277
      41.412000      21.105228      21.105273      -0.000045
      41.470000      20.528293      20.528224       0.000069
      41.537000      19.906453      19.906305       0.000148
      41.602000      19.345662      19.345463       0.000199
      41.662000      18.862545      18.862465       0.000080
      41.720000      18.425381      18.425202       0.000179
