X	Y_Calc	Y_Init	Diff_Y_Calc_Init
    2006.216932       0.009720       0.009719       0.000001
    2008.426696       0.010641       0.010641      -0.000000
    2010.638677       0.011551       0.011553      -0.000002
    2012.852875       0.012431       0.012432      -0.000001
    2015.069802       0.013253       0.013255      -0.000002
    2017.289287       0.013988       0.013996      -0.000008
    2019.510990       0.014640       0.014632       0.000008
    2021.735251       0.015141       0.015137       0.000004
    2023.961729       0.015492       0.015495      -0.000003
    2026.190936       0.015703       0.015693       0.000010
    2028.422531       0.015725       0.015725      -0.000000
    2030.656514       0.015586       0.015594      -0.000008
    2032.893055       0.015318       0.015312       0.000006
    2035.131814       0.014891       0.014895      -0.000004
    2037.373302       0.014373       0.014368       0.000005
    2039.617347       0.013748       0.013757      -0.000009
    2041.863611       0.013089       0.013090      -0.000001
    2044.112262       0.012409       0.012398       0.000011
    2046.363641       0.011705       0.011708      -0.000003
    2048.617580       0.011050       0.011048       0.000002
    2050.873735       0.010439       0.010444      -0.000005
    2053.132620       0.009916       0.009919      -0.000003
    2055.393722       0.009498       0.009492       0.000006
    2057.657382       0.009173       0.009179      -0.000006
    2059.923771       0.008992       0.008993      -0.000001
    2062.192548       0.008949       0.008943       0.000006
    2064.463542       0.009030       0.009033      -0.000003
    2066.737265       0.009271       0.009266       0.000005
    2069.013547       0.009627       0.009637      -0.000010
    2071.292387       0.010142       0.010142       0.000000
    2073.573615       0.010778       0.010771       0.000007
    2075.857230       0.011511       0.011509       0.000002
    2078.143404       0.012338       0.012343      -0.000005
    2080.432307       0.013256       0.013256      -0.000000
    2082.723598       0.014218       0.014224      -0.000006
    2085.017276       0.015237       0.015228       0.000009
    2087.313684       0.016242       0.016242       0.000000
    2089.612650       0.017238       0.017244      -0.000006
    2091.914174       0.018218       0.018212       0.000006
    2094.218086       0.019125       0.019121       0.000004
    2096.524386       0.019960       0.019956       0.000004
    2098.833415       0.020706       0.020701       0.000005
    2101.145173       0.021352       0.021351       0.000001
    2103.459319       0.021908       0.021904       0.000004
    2105.775682       0.022377       0.022368       0.000009
    2108.094944       0.022747       0.022753      -0.000006
    2110.416765       0.023071       0.023075      -0.000004
    2112.741144       0.023356       0.023350       0.000006
    2115.068082       0.023586       0.023594      -0.000008
    2117.397407       0.023827       0.023821       0.000006
    2119.729461       0.024037       0.024041      -0.000004
    2122.064074       0.024250       0.024262      -0.000012
    2124.401416       0.024490       0.024486       0.000004
    2126.741145       0.024709       0.024708       0.000001
    2129.083263       0.024925       0.024923       0.000002
    2131.428109       0.025132       0.025122       0.000010
    2133.775684       0.025281       0.025291      -0.000010
    2136.125818       0.025418       0.025423      -0.000005
    2138.478169       0.025516       0.025508       0.000008
    2140.833590       0.025538       0.025542      -0.000004
    2143.191399       0.025517       0.025528      -0.000011
    2145.551936       0.025480       0.025475       0.000005
    2147.915033       0.025397       0.025391       0.000006
    2150.280346       0.025302       0.025295       0.000007
    2152.648729       0.025207       0.025199       0.000008
    2155.019501       0.025118       0.025119      -0.000001
    2157.393001       0.025075       0.025067       0.000008
    2159.768889       0.025049       0.025049      -0.000000
    2162.147677       0.025063       0.025067      -0.000004
    2164.529022       0.025108       0.025116      -0.000008
    2166.912927       0.025181       0.025188      -0.000007
    2169.299560       0.025261       0.025267      -0.000006
    2171.688581       0.025339       0.025332       0.000007
    2174.080502       0.025357       0.025361      -0.000004
    2176.474981       0.025342       0.025332       0.000010
    2178.872018       0.025227       0.025222       0.000005
    2181.271785       0.025021       0.025016       0.000005
    2183.673939       0.024696       0.024703      -0.000007
    2186.079163       0.024281       0.024286      -0.000005
    2188.486775       0.023778       0.023769       0.000009
    2190.897116       0.023170       0.023167       0.000003
    2193.309845       0.022501       0.022497       0.000004
    2195.725644       0.021791       0.021783       0.000008
    2198.144001       0.021033       0.021044      -0.000011
    2200.564917       0.020309       0.020304       0.000005
    2202.988561       0.019574       0.019577      -0.000003
    2205.414764       0.018878       0.018880      -0.000002
    2207.843696       0.018221       0.018221      -0.000000
    2210.275357       0.017607       0.017605       0.000002
    2212.709747       0.017027       0.017030      -0.000003
    2215.146524       0.016483       0.016492      -0.000009
    2217.586202       0.015977       0.015981      -0.000004
    2220.028608       0.015479       0.015486      -0.000007
    2222.473743       0.014996       0.014993       0.000003
    2224.921607       0.014489       0.014491      -0.000002
    2227.371859       0.013961       0.013967      -0.000006
    2229.825010       0.013412       0.013413      -0.000001
    2232.280890       0.012836       0.012825       0.000011
    2234.739499       0.012202       0.012202      -0.000000
    2237.200496       0.011545       0.011548      -0.000003
    2239.664564       0.010869       0.010870      -0.000001
    2242.131360       0.010181       0.010177       0.000004
    2244.600714       0.009476       0.009478      -0.000002
    2247.072968       0.008775       0.008784      -0.000009
    2249.547439       0.008103       0.008107      -0.000004
    2252.025151       0.007463       0.007458       0.000005
    2254.505421       0.006841       0.006846      -0.000005
    2256.988591       0.006277       0.006280      -0.000003
    2259.474148       0.005772       0.005770       0.000002
    2261.962606       0.005313       0.005320      -0.000007
    2264.453962       0.004944       0.004939       0.000005
    2266.948048       0.004634       0.004630       0.000004
    2269.444692       0.004391       0.004397      -0.000006
    2271.944064       0.004249       0.004243       0.000006
    2274.446337       0.004175       0.004170       0.000005
    2276.951338       0.004187       0.004178       0.000009
    2279.459068       0.004265       0.004268      -0.000003
    2281.969698       0.004429       0.004439      -0.000010
    2284.482715       0.004688       0.004690      -0.000002
    2286.998803       0.005019       0.005019       0.000000
    2289.517790       0.005417       0.005420      -0.000003
    2292.039336       0.005888       0.005891      -0.000003
    2294.563440       0.006430       0.006424       0.000006
    2297.090614       0.007012       0.007011       0.000001
    2299.620687       0.007640       0.007643      -0.000003
    2302.153490       0.008313       0.008308       0.000005
    2304.689021       0.008990       0.008992      -0.000002
    2307.227111       0.009683       0.009683      -0.000000
    2309.768270       0.010372       0.010365       0.000007
    2312.312159       0.011019       0.011020      -0.000001
    2314.858947       0.011627       0.011633      -0.000006
    2317.408124       0.012196       0.012188       0.000008
    2319.960540       0.012669       0.012670      -0.000001
    2322.515686       0.013071       0.013071      -0.000000
    2325.073731       0.013393       0.013384       0.000009
    2327.634505       0.013613       0.013608       0.000005
    2330.197838       0.013757       0.013750       0.000007
    2332.764240       0.013816       0.013819      -0.000003
    2335.333542       0.013826       0.013832      -0.000006
    2337.905573       0.013802       0.013805      -0.000003
    2340.480504       0.013767       0.013757       0.000010
    2343.057993       0.013718       0.013707       0.000011
    2345.638722       0.013665       0.013671      -0.000006
    2348.222181       0.013672       0.013664       0.000008
    2350.808368       0.013687       0.013696      -0.000009
    2353.397284       0.013780       0.013776       0.000004
    2355.989271       0.013905       0.013904       0.000001
    2358.584157       0.014086       0.014078       0.000008
    2361.181772       0.014293       0.014290       0.000003
    2363.782457       0.014529       0.014530      -0.000001
    2366.385529       0.014774       0.014783      -0.000009
    2368.991843       0.015039       0.015032       0.000007
    2371.601056       0.015251       0.015257      -0.000006
    2374.213168       0.015448       0.015442       0.000006
    2376.827668       0.015563       0.015569      -0.000006
    2379.445580       0.015633       0.015630       0.000003
    2382.066220       0.015623       0.015619       0.000004
    2384.689760       0.015529       0.015536      -0.000007
    2387.316199       0.015405       0.015393       0.000012
    2389.945368       0.015192       0.015199      -0.000007
    2392.577606       0.014981       0.014975       0.000006
    2395.212744       0.014748       0.014737       0.000011
    2397.850781       0.014501       0.014504      -0.000003
    2400.491377       0.014304       0.014298       0.000006
    2403.135213       0.014120       0.014132      -0.000012
    2405.782120       0.014030       0.014023       0.000007
    2408.431755       0.013966       0.013975      -0.000009
    2411.084290       0.013989       0.013998      -0.000009
    2413.739554       0.014087       0.014092      -0.000005
    2416.398058       0.014235       0.014249      -0.000014
    2419.059462       0.014448       0.014462      -0.000014
    2421.723766       0.014728       0.014715       0.000013
    2424.390798       0.014979       0.014987      -0.000008
    2427.060901       0.015264       0.015263       0.000001
    2429.734073       0.015522       0.015518       0.000004
    2432.410145       0.015730       0.015734      -0.000004
    2435.089117       0.015890       0.015893      -0.000003
    2437.770817       0.015995       0.015984       0.000011
    2440.455758       0.016010       0.015999       0.000011
    2443.143599       0.015934       0.015937      -0.000003
    2445.834510       0.015801       0.015808      -0.000007
    2448.528320       0.015631       0.015624       0.000007
    2451.224688       0.015410       0.015401       0.000009
    2453.924468       0.015157       0.015160      -0.000003
    2456.627147       0.014919       0.014924      -0.000005
    2459.332897       0.014721       0.014712       0.000009
    2462.041205       0.014557       0.014545       0.000012
    2464.752923       0.014439       0.014438       0.000001
    2467.467542       0.014406       0.014406       0.000000
    2470.185230       0.014464       0.014455       0.000009
    2472.905818       0.014579       0.014588      -0.000009
    2475.629135       0.014814       0.014806       0.000008
    2478.355693       0.015110       0.015099       0.000011
    2481.085320       0.015457       0.015455       0.000002
    2483.818018       0.015867       0.015859       0.000008
    2486.553274       0.016295       0.016290       0.000005
    2489.291941       0.016734       0.016725       0.000009
    2492.033679       0.017144       0.017140       0.000004
    2494.778315       0.017528       0.017514       0.000014
    2497.526022       0.017836       0.017828       0.000008
    2500.276458       0.018067       0.018068      -0.000001
    2503.030305       0.018226       0.018231      -0.000005
    2505.787052       0.018337       0.018321       0.000016
    2508.546868       0.018336       0.018347      -0.000011
    2511.309755       0.018337       0.018334       0.000003
